2021-07-16 16:57:19,752 Experiment dir : saves/DQN-HARD-20210716-165719
2021-07-16 16:57:19,753 Args: Namespace(gpu='0', save='DQN-HARD', max_episodes=300)
2021-07-16 16:57:19,758 {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 110}
2021-07-16 16:57:19,758 {'batch_size': 275, 'gamma': 0.744, 'epsilon_start': 1.1, 'epsilon_end': 0.0162, 'epsilon_decay': 0.7565, 'target_update': 'hard', 'tau': 0.0, 'target_update_period': 30, 'grad_clip': 0.168}
2021-07-16 16:57:19,941 Episode: 1 | Current target score 0 | Score: 13.0
2021-07-16 16:57:20,092 Episode: 2 | Current target score 13.0 | Score: 15.0
2021-07-16 16:57:20,154 Episode: 3 | Current target score 13.0 | Score: 13.0
2021-07-16 16:57:20,235 Episode: 4 | Current target score 13.0 | Score: 9.0
2021-07-16 16:57:20,291 Episode: 5 | Current target score 13.0 | Score: 9.0
2021-07-16 16:57:20,351 Episode: 6 | Current target score 13.0 | Score: 9.0
2021-07-16 16:57:20,404 Episode: 7 | Current target score 13.0 | Score: 14.0
2021-07-16 16:57:20,457 Episode: 8 | Current target score 13.0 | Score: 13.0
2021-07-16 16:57:20,511 Episode: 9 | Current target score 13.0 | Score: 8.0
2021-07-16 16:57:20,573 Episode: 10 | Current target score 13.0 | Score: 9.0
2021-07-16 16:57:20,621 Episode: 11 | Current target score 13.0 | Score: 9.0
2021-07-16 16:57:20,671 Episode: 12 | Current target score 13.0 | Score: 9.0
2021-07-16 16:57:20,722 Episode: 13 | Current target score 13.0 | Score: 10.0
2021-07-16 16:57:20,778 Episode: 14 | Current target score 13.0 | Score: 13.0
2021-07-16 16:57:20,831 Episode: 15 | Current target score 13.0 | Score: 8.0
2021-07-16 16:57:20,887 Episode: 16 | Current target score 13.0 | Score: 10.0
2021-07-16 16:57:20,943 Episode: 17 | Current target score 13.0 | Score: 9.0
2021-07-16 16:57:21,000 Episode: 18 | Current target score 13.0 | Score: 10.0
2021-07-16 16:57:21,063 Episode: 19 | Current target score 13.0 | Score: 10.0
2021-07-16 16:57:21,123 Episode: 20 | Current target score 13.0 | Score: 8.0
2021-07-16 16:57:21,186 Episode: 21 | Current target score 13.0 | Score: 9.0
2021-07-16 16:57:21,248 Episode: 22 | Current target score 13.0 | Score: 10.0
2021-07-16 16:57:21,300 Episode: 23 | Current target score 13.0 | Score: 8.0
2021-07-16 16:57:21,352 Episode: 24 | Current target score 13.0 | Score: 9.0
2021-07-16 16:57:21,404 Episode: 25 | Current target score 13.0 | Score: 9.0
2021-07-16 16:57:21,458 Episode: 26 | Current target score 13.0 | Score: 10.0
2021-07-16 16:57:21,512 Episode: 27 | Current target score 13.0 | Score: 8.0
2021-07-16 16:57:21,581 Episode: 28 | Current target score 13.0 | Score: 9.0
2021-07-16 16:57:21,654 Episode: 29 | Current target score 13.0 | Score: 9.0
