2021-07-17 11:32:12,117 Experiment dir : saves/DQN-HARD-20210717-113212
2021-07-17 11:32:12,118 Args: Namespace(gpu='0', save='DQN-HARD', max_episodes=200, with_buffer=True, with_target=True)
2021-07-17 11:32:12,123 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 11:32:12,124 training_params: {'batch_size': 256, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 15, 'grad_clip': 0.1}
2021-07-17 11:32:12,343 Episode: 1 | Current target score 0 | Score: 17.0
2021-07-17 11:32:12,518 Episode: 2 | Current target score 17.0 | Score: 47.0
2021-07-17 11:32:12,584 Episode: 3 | Current target score 17.0 | Score: 21.0
2021-07-17 11:32:12,680 Episode: 4 | Current target score 17.0 | Score: 31.0
2021-07-17 11:32:12,737 Episode: 5 | Current target score 17.0 | Score: 16.0
2021-07-17 11:32:12,802 Episode: 6 | Current target score 17.0 | Score: 40.0
2021-07-17 11:32:12,859 Episode: 7 | Current target score 17.0 | Score: 12.0
2021-07-17 11:32:12,916 Episode: 8 | Current target score 17.0 | Score: 15.0
2021-07-17 11:32:12,972 Episode: 9 | Current target score 17.0 | Score: 11.0
2021-07-17 11:32:13,045 Episode: 10 | Current target score 17.0 | Score: 11.0
2021-07-17 11:32:13,097 Episode: 11 | Current target score 17.0 | Score: 24.0
2021-07-17 11:32:13,163 Episode: 12 | Current target score 17.0 | Score: 18.0
2021-07-17 11:32:13,231 Episode: 13 | Current target score 17.0 | Score: 11.0
2021-07-17 11:32:13,300 Episode: 14 | Current target score 17.0 | Score: 11.0
2021-07-17 11:32:13,369 Episode: 15 | Current target score 17.0 | Score: 12.0
2021-07-17 11:32:13,441 Episode: 16 | Current target score 17.0 | Score: 12.0
2021-07-17 11:32:13,510 Episode: 17 | Current target score 17.0 | Score: 14.0
2021-07-17 11:32:13,582 Episode: 18 | Current target score 17.0 | Score: 12.0
2021-07-17 11:32:13,658 Episode: 19 | Current target score 17.0 | Score: 13.0
2021-07-17 11:32:13,717 Episode: 20 | Current target score 17.0 | Score: 8.0
2021-07-17 11:32:13,778 Episode: 21 | Current target score 17.0 | Score: 10.0
2021-07-17 11:32:13,849 Episode: 22 | Current target score 17.0 | Score: 15.0
2021-07-17 11:32:13,905 Episode: 23 | Current target score 17.0 | Score: 10.0
2021-07-17 11:32:13,961 Episode: 24 | Current target score 17.0 | Score: 9.0
2021-07-17 11:32:14,015 Episode: 25 | Current target score 17.0 | Score: 9.0
2021-07-17 11:32:14,071 Episode: 26 | Current target score 17.0 | Score: 9.0
2021-07-17 11:32:14,130 Episode: 27 | Current target score 17.0 | Score: 12.0
2021-07-17 11:32:14,187 Episode: 28 | Current target score 17.0 | Score: 9.0
2021-07-17 11:32:14,246 Episode: 29 | Current target score 17.0 | Score: 10.0
2021-07-17 11:32:14,304 Episode: 30 | Current target score 17.0 | Score: 9.0
2021-07-17 11:32:14,371 Episode: 31 | Current target score 17.0 | Score: 14.0
2021-07-17 11:32:14,431 Episode: 32 | Current target score 17.0 | Score: 9.0
2021-07-17 11:32:14,492 Episode: 33 | Current target score 17.0 | Score: 10.0
2021-07-17 11:32:14,555 Episode: 34 | Current target score 17.0 | Score: 10.0
