2021-07-17 12:17:25,915 Experiment dir : saves/DQN-HARD-NoBuffer-20210717-121725
2021-07-17 12:17:25,915 Args: Namespace(gpu='0', save='DQN-HARD-NoBuffer', max_episodes=200, with_buffer=False, with_target=True)
2021-07-17 12:17:25,918 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 12:17:25,918 training_params: {'batch_size': 1, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 15, 'grad_clip': 0.1}
2021-07-17 12:17:26,136 Episode: 1 | Current target score 0 | Score: 60.0
2021-07-17 12:17:26,292 Episode: 2 | Current target score 60.0 | Score: 12.0
2021-07-17 12:17:26,357 Episode: 3 | Current target score 60.0 | Score: 13.0
2021-07-17 12:17:26,445 Episode: 4 | Current target score 60.0 | Score: 13.0
2021-07-17 12:17:26,511 Episode: 5 | Current target score 60.0 | Score: 12.0
2021-07-17 12:17:26,580 Episode: 6 | Current target score 60.0 | Score: 12.0
2021-07-17 12:17:26,633 Episode: 7 | Current target score 60.0 | Score: 11.0
2021-07-17 12:17:26,688 Episode: 8 | Current target score 60.0 | Score: 11.0
2021-07-17 12:17:26,741 Episode: 9 | Current target score 60.0 | Score: 11.0
2021-07-17 12:17:26,795 Episode: 10 | Current target score 60.0 | Score: 11.0
2021-07-17 12:17:26,844 Episode: 11 | Current target score 60.0 | Score: 13.0
2021-07-17 12:17:26,914 Episode: 12 | Current target score 60.0 | Score: 35.0
2021-07-17 12:17:26,973 Episode: 13 | Current target score 60.0 | Score: 24.0
2021-07-17 12:17:27,028 Episode: 14 | Current target score 60.0 | Score: 12.0
2021-07-17 12:17:27,086 Episode: 15 | Current target score 60.0 | Score: 17.0
2021-07-17 12:17:27,140 Episode: 16 | Current target score 60.0 | Score: 12.0
2021-07-17 12:17:27,202 Episode: 17 | Current target score 60.0 | Score: 19.0
2021-07-17 12:17:27,262 Episode: 18 | Current target score 60.0 | Score: 15.0
2021-07-17 12:17:27,336 Episode: 19 | Current target score 60.0 | Score: 15.0
2021-07-17 12:17:27,406 Episode: 20 | Current target score 60.0 | Score: 13.0
2021-07-17 12:17:27,468 Episode: 21 | Current target score 60.0 | Score: 13.0
2021-07-17 12:17:27,536 Episode: 22 | Current target score 60.0 | Score: 21.0
2021-07-17 12:17:27,588 Episode: 23 | Current target score 60.0 | Score: 12.0
2021-07-17 12:17:27,638 Episode: 24 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:27,688 Episode: 25 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:27,741 Episode: 26 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:27,800 Episode: 27 | Current target score 60.0 | Score: 17.0
2021-07-17 12:17:27,854 Episode: 28 | Current target score 60.0 | Score: 11.0
2021-07-17 12:17:27,907 Episode: 29 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:27,961 Episode: 30 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:28,019 Episode: 31 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:28,078 Episode: 32 | Current target score 60.0 | Score: 12.0
2021-07-17 12:17:28,137 Episode: 33 | Current target score 60.0 | Score: 11.0
2021-07-17 12:17:28,194 Episode: 34 | Current target score 60.0 | Score: 11.0
2021-07-17 12:17:28,255 Episode: 35 | Current target score 60.0 | Score: 11.0
2021-07-17 12:17:28,316 Episode: 36 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:28,379 Episode: 37 | Current target score 60.0 | Score: 12.0
2021-07-17 12:17:28,437 Episode: 38 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:28,498 Episode: 39 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:28,557 Episode: 40 | Current target score 60.0 | Score: 8.0
2021-07-17 12:17:28,622 Episode: 41 | Current target score 60.0 | Score: 12.0
2021-07-17 12:17:28,685 Episode: 42 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:28,743 Episode: 43 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:28,800 Episode: 44 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:28,857 Episode: 45 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:28,915 Episode: 46 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:28,974 Episode: 47 | Current target score 60.0 | Score: 11.0
2021-07-17 12:17:29,033 Episode: 48 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:29,092 Episode: 49 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:29,153 Episode: 50 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:29,299 Episode: 51 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:29,359 Episode: 52 | Current target score 60.0 | Score: 8.0
2021-07-17 12:17:29,421 Episode: 53 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:29,483 Episode: 54 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:29,544 Episode: 55 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:29,605 Episode: 56 | Current target score 60.0 | Score: 8.0
2021-07-17 12:17:29,668 Episode: 57 | Current target score 60.0 | Score: 8.0
2021-07-17 12:17:29,732 Episode: 58 | Current target score 60.0 | Score: 11.0
2021-07-17 12:17:29,802 Episode: 59 | Current target score 60.0 | Score: 13.0
2021-07-17 12:17:29,870 Episode: 60 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:29,938 Episode: 61 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:30,005 Episode: 62 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:30,072 Episode: 63 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:30,140 Episode: 64 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:30,209 Episode: 65 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:30,279 Episode: 66 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:30,350 Episode: 67 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:30,420 Episode: 68 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:30,491 Episode: 69 | Current target score 60.0 | Score: 8.0
2021-07-17 12:17:30,565 Episode: 70 | Current target score 60.0 | Score: 11.0
2021-07-17 12:17:30,637 Episode: 71 | Current target score 60.0 | Score: 8.0
2021-07-17 12:17:30,711 Episode: 72 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:30,785 Episode: 73 | Current target score 60.0 | Score: 8.0
2021-07-17 12:17:30,859 Episode: 74 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:30,933 Episode: 75 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:31,008 Episode: 76 | Current target score 60.0 | Score: 8.0
2021-07-17 12:17:31,086 Episode: 77 | Current target score 60.0 | Score: 12.0
2021-07-17 12:17:31,161 Episode: 78 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:31,239 Episode: 79 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:31,320 Episode: 80 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:31,399 Episode: 81 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:31,478 Episode: 82 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:31,557 Episode: 83 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:31,631 Episode: 84 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:31,706 Episode: 85 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:31,783 Episode: 86 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:31,862 Episode: 87 | Current target score 60.0 | Score: 11.0
2021-07-17 12:17:31,939 Episode: 88 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:32,022 Episode: 89 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:32,100 Episode: 90 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:32,178 Episode: 91 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:32,257 Episode: 92 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:32,339 Episode: 93 | Current target score 60.0 | Score: 12.0
2021-07-17 12:17:32,418 Episode: 94 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:32,497 Episode: 95 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:32,575 Episode: 96 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:32,656 Episode: 97 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:32,738 Episode: 98 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:32,822 Episode: 99 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:32,905 Episode: 100 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:33,090 Episode: 101 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:33,175 Episode: 102 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:33,260 Episode: 103 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:33,380 Episode: 104 | Current target score 60.0 | Score: 9.0
2021-07-17 12:17:33,476 Episode: 105 | Current target score 60.0 | Score: 8.0
2021-07-17 12:17:33,565 Episode: 106 | Current target score 60.0 | Score: 10.0
2021-07-17 12:17:33,654 Episode: 107 | Current target score 60.0 | Score: 10.0
