2021-07-17 17:28:57,479 Experiment dir : saves/DQN-HARD-best-20210717-172857
2021-07-17 17:28:57,480 Args: Namespace(gpu='0', save='DQN-HARD-best', max_episodes=200, with_buffer=True, with_target=True)
2021-07-17 17:28:57,482 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 154}
2021-07-17 17:28:57,482 training_params: {'batch_size': 407, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.0433, 'epsilon_decay': 0.258, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 7, 'grad_clip': 0.244}
2021-07-17 17:28:57,623 Episode: 1 | Current target score 0 | Score: 9.0
2021-07-17 17:28:57,761 Episode: 2 | Current target score 9.0 | Score: 10.0
2021-07-17 17:28:57,825 Episode: 3 | Current target score 9.0 | Score: 10.0
2021-07-17 17:28:57,904 Episode: 4 | Current target score 9.0 | Score: 10.0
2021-07-17 17:28:57,957 Episode: 5 | Current target score 9.0 | Score: 10.0
2021-07-17 17:28:58,013 Episode: 6 | Current target score 9.0 | Score: 10.0
2021-07-17 17:28:58,063 Episode: 7 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:58,112 Episode: 8 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:58,164 Episode: 9 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:58,218 Episode: 10 | Current target score 10.0 | Score: 9.0
2021-07-17 17:28:58,265 Episode: 11 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:58,311 Episode: 12 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:58,355 Episode: 13 | Current target score 10.0 | Score: 8.0
2021-07-17 17:28:58,417 Episode: 14 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:58,466 Episode: 15 | Current target score 10.0 | Score: 9.0
2021-07-17 17:28:58,516 Episode: 16 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:58,563 Episode: 17 | Current target score 10.0 | Score: 12.0
2021-07-17 17:28:58,611 Episode: 18 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:58,663 Episode: 19 | Current target score 10.0 | Score: 9.0
2021-07-17 17:28:58,718 Episode: 20 | Current target score 10.0 | Score: 9.0
2021-07-17 17:28:58,779 Episode: 21 | Current target score 10.0 | Score: 9.0
2021-07-17 17:28:58,836 Episode: 22 | Current target score 10.0 | Score: 9.0
2021-07-17 17:28:58,882 Episode: 23 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:58,925 Episode: 24 | Current target score 10.0 | Score: 9.0
2021-07-17 17:28:58,968 Episode: 25 | Current target score 10.0 | Score: 9.0
2021-07-17 17:28:59,015 Episode: 26 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:59,061 Episode: 27 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:59,110 Episode: 28 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:59,162 Episode: 29 | Current target score 10.0 | Score: 12.0
2021-07-17 17:28:59,212 Episode: 30 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:59,261 Episode: 31 | Current target score 10.0 | Score: 9.0
2021-07-17 17:28:59,311 Episode: 32 | Current target score 10.0 | Score: 12.0
2021-07-17 17:28:59,360 Episode: 33 | Current target score 10.0 | Score: 9.0
2021-07-17 17:28:59,408 Episode: 34 | Current target score 10.0 | Score: 8.0
2021-07-17 17:28:59,460 Episode: 35 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:59,514 Episode: 36 | Current target score 10.0 | Score: 12.0
2021-07-17 17:28:59,566 Episode: 37 | Current target score 10.0 | Score: 9.0
2021-07-17 17:28:59,619 Episode: 38 | Current target score 10.0 | Score: 9.0
2021-07-17 17:28:59,671 Episode: 39 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:59,723 Episode: 40 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:59,777 Episode: 41 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:59,845 Episode: 42 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:59,916 Episode: 43 | Current target score 10.0 | Score: 10.0
2021-07-17 17:28:59,984 Episode: 44 | Current target score 10.0 | Score: 9.0
2021-07-17 17:29:00,051 Episode: 45 | Current target score 10.0 | Score: 8.0
2021-07-17 17:29:00,120 Episode: 46 | Current target score 10.0 | Score: 9.0
2021-07-17 17:29:00,189 Episode: 47 | Current target score 10.0 | Score: 10.0
2021-07-17 17:29:00,268 Episode: 48 | Current target score 10.0 | Score: 14.0
2021-07-17 17:29:00,339 Episode: 49 | Current target score 10.0 | Score: 10.0
2021-07-17 17:29:00,414 Episode: 50 | Current target score 10.0 | Score: 11.0
2021-07-17 17:29:00,565 Episode: 51 | Current target score 10.0 | Score: 10.0
2021-07-17 17:29:00,637 Episode: 52 | Current target score 10.0 | Score: 9.0
2021-07-17 17:29:00,712 Episode: 53 | Current target score 10.0 | Score: 10.0
2021-07-17 17:29:00,783 Episode: 54 | Current target score 10.0 | Score: 9.0
2021-07-17 17:29:00,857 Episode: 55 | Current target score 10.0 | Score: 9.0
2021-07-17 17:29:00,932 Episode: 56 | Current target score 10.0 | Score: 9.0
2021-07-17 17:29:01,006 Episode: 57 | Current target score 10.0 | Score: 8.0
2021-07-17 17:29:01,084 Episode: 58 | Current target score 10.0 | Score: 10.0
2021-07-17 17:29:01,159 Episode: 59 | Current target score 10.0 | Score: 10.0
2021-07-17 17:29:01,266 Episode: 60 | Current target score 10.0 | Score: 23.0
2021-07-17 17:29:01,380 Episode: 61 | Current target score 10.0 | Score: 27.0
2021-07-17 17:29:01,455 Episode: 62 | Current target score 10.0 | Score: 9.0
2021-07-17 17:29:01,529 Episode: 63 | Current target score 10.0 | Score: 8.0
2021-07-17 17:29:01,603 Episode: 64 | Current target score 10.0 | Score: 9.0
2021-07-17 17:29:01,678 Episode: 65 | Current target score 10.0 | Score: 9.0
2021-07-17 17:29:01,757 Episode: 66 | Current target score 10.0 | Score: 10.0
2021-07-17 17:29:01,850 Episode: 67 | Current target score 10.0 | Score: 8.0
2021-07-17 17:29:01,968 Episode: 68 | Current target score 10.0 | Score: 11.0
2021-07-17 17:29:02,053 Episode: 69 | Current target score 10.0 | Score: 10.0
2021-07-17 17:29:02,137 Episode: 70 | Current target score 10.0 | Score: 9.0
2021-07-17 17:29:02,222 Episode: 71 | Current target score 10.0 | Score: 12.0
2021-07-17 17:29:02,307 Episode: 72 | Current target score 10.0 | Score: 11.0
2021-07-17 17:29:02,395 Episode: 73 | Current target score 10.0 | Score: 10.0
2021-07-17 17:29:02,514 Episode: 74 | Current target score 10.0 | Score: 24.0
2021-07-17 17:29:02,635 Episode: 75 | Current target score 10.0 | Score: 10.0
2021-07-17 17:29:02,745 Episode: 76 | Current target score 10.0 | Score: 12.0
2021-07-17 17:29:02,858 Episode: 77 | Current target score 10.0 | Score: 9.0
2021-07-17 17:29:02,981 Episode: 78 | Current target score 10.0 | Score: 11.0
2021-07-17 17:29:03,081 Episode: 79 | Current target score 10.0 | Score: 11.0
2021-07-17 17:29:03,177 Episode: 80 | Current target score 10.0 | Score: 11.0
2021-07-17 17:29:03,381 Episode: 81 | Current target score 10.0 | Score: 40.0
2021-07-17 17:29:03,474 Episode: 82 | Current target score 10.0 | Score: 11.0
2021-07-17 17:29:03,571 Episode: 83 | Current target score 11.0 | Score: 12.0
2021-07-17 17:29:03,659 Episode: 84 | Current target score 11.0 | Score: 11.0
2021-07-17 17:29:03,744 Episode: 85 | Current target score 11.0 | Score: 10.0
2021-07-17 17:29:03,831 Episode: 86 | Current target score 11.0 | Score: 11.0
2021-07-17 17:29:03,914 Episode: 87 | Current target score 11.0 | Score: 9.0
2021-07-17 17:29:04,392 Episode: 88 | Current target score 11.0 | Score: 174.0
2021-07-17 17:29:04,517 Episode: 89 | Current target score 11.0 | Score: 11.0
2021-07-17 17:29:04,615 Episode: 90 | Current target score 11.0 | Score: 13.0
2021-07-17 17:29:04,719 Episode: 91 | Current target score 11.0 | Score: 10.0
2021-07-17 17:29:04,813 Episode: 92 | Current target score 11.0 | Score: 10.0
2021-07-17 17:29:04,903 Episode: 93 | Current target score 11.0 | Score: 9.0
2021-07-17 17:29:04,997 Episode: 94 | Current target score 11.0 | Score: 11.0
2021-07-17 17:29:05,098 Episode: 95 | Current target score 11.0 | Score: 11.0
2021-07-17 17:29:05,193 Episode: 96 | Current target score 11.0 | Score: 9.0
2021-07-17 17:29:05,289 Episode: 97 | Current target score 11.0 | Score: 12.0
2021-07-17 17:29:05,385 Episode: 98 | Current target score 11.0 | Score: 11.0
2021-07-17 17:29:05,481 Episode: 99 | Current target score 11.0 | Score: 11.0
2021-07-17 17:29:05,578 Episode: 100 | Current target score 11.0 | Score: 11.0
2021-07-17 17:29:05,803 Episode: 101 | Current target score 11.0 | Score: 13.0
2021-07-17 17:29:05,963 Episode: 102 | Current target score 11.0 | Score: 21.0
2021-07-17 17:29:06,086 Episode: 103 | Current target score 11.0 | Score: 15.0
2021-07-17 17:29:06,259 Episode: 104 | Current target score 11.0 | Score: 37.0
2021-07-17 17:29:06,478 Episode: 105 | Current target score 11.0 | Score: 51.0
2021-07-17 17:29:07,011 Episode: 106 | Current target score 13.0 | Score: 32.0
2021-07-17 17:29:07,357 Episode: 107 | Current target score 15.0 | Score: 23.0
2021-07-17 17:29:07,986 Episode: 108 | Current target score 15.0 | Score: 36.0
2021-07-17 17:29:08,261 Episode: 109 | Current target score 23.0 | Score: 34.0
2021-07-17 17:29:08,568 Episode: 110 | Current target score 23.0 | Score: 45.0
2021-07-17 17:29:09,337 Episode: 111 | Current target score 23.0 | Score: 150.0
2021-07-17 17:29:09,846 Episode: 112 | Current target score 23.0 | Score: 99.0
2021-07-17 17:29:10,365 Episode: 113 | Current target score 34.0 | Score: 120.0
2021-07-17 17:29:10,954 Episode: 114 | Current target score 34.0 | Score: 141.0
2021-07-17 17:29:11,796 Episode: 115 | Current target score 45.0 | Score: 220.0
2021-07-17 17:29:12,156 Episode: 116 | Current target score 99.0 | Score: 80.0
2021-07-17 17:29:12,724 Episode: 117 | Current target score 99.0 | Score: 164.0
2021-07-17 17:29:13,507 Episode: 118 | Current target score 99.0 | Score: 204.0
2021-07-17 17:29:13,958 Episode: 119 | Current target score 99.0 | Score: 135.0
2021-07-17 17:29:14,345 Episode: 120 | Current target score 99.0 | Score: 114.0
2021-07-17 17:29:14,984 Episode: 121 | Current target score 99.0 | Score: 218.0
