2021-07-17 12:14:12,862 Experiment dir : saves/DQN-NoTarget-20210717-121412
2021-07-17 12:14:12,862 Args: Namespace(gpu='0', save='DQN-NoTarget', max_episodes=200, with_buffer=True, with_target=False)
2021-07-17 12:14:12,866 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 12:14:12,866 training_params: {'batch_size': 256, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 1, 'grad_clip': 0.1}
2021-07-17 12:14:13,101 Episode: 1 | Current target score 0 | Score: 20.0
2021-07-17 12:14:13,321 Episode: 2 | Current target score 20.0 | Score: 19.0
2021-07-17 12:14:13,435 Episode: 3 | Current target score 20.0 | Score: 18.0
2021-07-17 12:14:13,560 Episode: 4 | Current target score 20.0 | Score: 13.0
2021-07-17 12:14:13,660 Episode: 5 | Current target score 20.0 | Score: 32.0
2021-07-17 12:14:13,746 Episode: 6 | Current target score 20.0 | Score: 35.0
2021-07-17 12:14:13,824 Episode: 7 | Current target score 20.0 | Score: 28.0
2021-07-17 12:14:13,906 Episode: 8 | Current target score 20.0 | Score: 12.0
2021-07-17 12:14:13,979 Episode: 9 | Current target score 20.0 | Score: 17.0
2021-07-17 12:14:14,069 Episode: 10 | Current target score 20.0 | Score: 13.0
2021-07-17 12:14:14,133 Episode: 11 | Current target score 20.0 | Score: 15.0
2021-07-17 12:14:14,196 Episode: 12 | Current target score 20.0 | Score: 14.0
2021-07-17 12:14:14,265 Episode: 13 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:14,336 Episode: 14 | Current target score 20.0 | Score: 14.0
2021-07-17 12:14:14,454 Episode: 15 | Current target score 20.0 | Score: 18.0
2021-07-17 12:14:14,591 Episode: 16 | Current target score 20.0 | Score: 25.0
2021-07-17 12:14:14,744 Episode: 17 | Current target score 20.0 | Score: 19.0
2021-07-17 12:14:14,827 Episode: 18 | Current target score 20.0 | Score: 11.0
2021-07-17 12:14:14,908 Episode: 19 | Current target score 20.0 | Score: 13.0
2021-07-17 12:14:14,983 Episode: 20 | Current target score 20.0 | Score: 12.0
2021-07-17 12:14:15,109 Episode: 21 | Current target score 20.0 | Score: 15.0
2021-07-17 12:14:15,244 Episode: 22 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:15,356 Episode: 23 | Current target score 20.0 | Score: 23.0
2021-07-17 12:14:15,431 Episode: 24 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:15,510 Episode: 25 | Current target score 20.0 | Score: 13.0
2021-07-17 12:14:15,587 Episode: 26 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:15,675 Episode: 27 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:15,771 Episode: 28 | Current target score 20.0 | Score: 11.0
2021-07-17 12:14:15,854 Episode: 29 | Current target score 20.0 | Score: 8.0
2021-07-17 12:14:15,936 Episode: 30 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:16,016 Episode: 31 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:16,108 Episode: 32 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:16,195 Episode: 33 | Current target score 20.0 | Score: 13.0
2021-07-17 12:14:16,273 Episode: 34 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:16,354 Episode: 35 | Current target score 20.0 | Score: 14.0
2021-07-17 12:14:16,430 Episode: 36 | Current target score 20.0 | Score: 11.0
2021-07-17 12:14:16,515 Episode: 37 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:16,601 Episode: 38 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:16,680 Episode: 39 | Current target score 20.0 | Score: 8.0
2021-07-17 12:14:16,756 Episode: 40 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:16,851 Episode: 41 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:16,951 Episode: 42 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:17,035 Episode: 43 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:17,127 Episode: 44 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:17,212 Episode: 45 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:17,292 Episode: 46 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:17,360 Episode: 47 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:17,425 Episode: 48 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:17,501 Episode: 49 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:17,574 Episode: 50 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:17,733 Episode: 51 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:17,800 Episode: 52 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:17,864 Episode: 53 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:17,936 Episode: 54 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:18,012 Episode: 55 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:18,080 Episode: 56 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:18,150 Episode: 57 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:18,230 Episode: 58 | Current target score 20.0 | Score: 8.0
2021-07-17 12:14:18,300 Episode: 59 | Current target score 20.0 | Score: 8.0
2021-07-17 12:14:18,371 Episode: 60 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:18,457 Episode: 61 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:18,535 Episode: 62 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:18,609 Episode: 63 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:18,688 Episode: 64 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:18,770 Episode: 65 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:18,845 Episode: 66 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:18,921 Episode: 67 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:19,009 Episode: 68 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:19,089 Episode: 69 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:19,167 Episode: 70 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:19,250 Episode: 71 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:19,340 Episode: 72 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:19,420 Episode: 73 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:19,498 Episode: 74 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:19,591 Episode: 75 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:19,687 Episode: 76 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:19,765 Episode: 77 | Current target score 20.0 | Score: 8.0
2021-07-17 12:14:19,859 Episode: 78 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:19,949 Episode: 79 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:20,031 Episode: 80 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:20,124 Episode: 81 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:20,217 Episode: 82 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:20,304 Episode: 83 | Current target score 20.0 | Score: 11.0
2021-07-17 12:14:20,385 Episode: 84 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:20,468 Episode: 85 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:20,550 Episode: 86 | Current target score 20.0 | Score: 11.0
2021-07-17 12:14:20,629 Episode: 87 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:20,710 Episode: 88 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:20,801 Episode: 89 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:20,883 Episode: 90 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:20,962 Episode: 91 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:21,043 Episode: 92 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:21,127 Episode: 93 | Current target score 20.0 | Score: 11.0
2021-07-17 12:14:21,207 Episode: 94 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:21,284 Episode: 95 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:21,363 Episode: 96 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:21,442 Episode: 97 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:21,526 Episode: 98 | Current target score 20.0 | Score: 11.0
2021-07-17 12:14:21,607 Episode: 99 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:21,691 Episode: 100 | Current target score 20.0 | Score: 11.0
2021-07-17 12:14:21,865 Episode: 101 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:21,946 Episode: 102 | Current target score 20.0 | Score: 9.0
2021-07-17 12:14:22,037 Episode: 103 | Current target score 20.0 | Score: 13.0
2021-07-17 12:14:22,122 Episode: 104 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:22,208 Episode: 105 | Current target score 20.0 | Score: 10.0
2021-07-17 12:14:22,295 Episode: 106 | Current target score 20.0 | Score: 10.0
