2021-07-17 12:10:07,076 Experiment dir : saves/DQN-NoTarget-NoBuffer-20210717-121007
2021-07-17 12:10:07,076 Args: Namespace(gpu='0', save='DQN-NoTarget-NoBuffer', max_episodes=200, with_buffer=False, with_target=False)
2021-07-17 12:10:07,082 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 12:10:07,083 training_params: {'batch_size': 1, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 1, 'grad_clip': 0.1}
2021-07-17 12:10:07,339 Episode: 1 | Current target score 0 | Score: 14.0
2021-07-17 12:10:07,580 Episode: 2 | Current target score 14.0 | Score: 25.0
2021-07-17 12:10:07,746 Episode: 3 | Current target score 14.0 | Score: 38.0
2021-07-17 12:10:07,896 Episode: 4 | Current target score 14.0 | Score: 20.0
2021-07-17 12:10:08,002 Episode: 5 | Current target score 14.0 | Score: 10.0
2021-07-17 12:10:08,110 Episode: 6 | Current target score 14.0 | Score: 13.0
2021-07-17 12:10:08,185 Episode: 7 | Current target score 14.0 | Score: 17.0
2021-07-17 12:10:08,258 Episode: 8 | Current target score 14.0 | Score: 17.0
2021-07-17 12:10:08,359 Episode: 9 | Current target score 14.0 | Score: 22.0
2021-07-17 12:10:08,442 Episode: 10 | Current target score 14.0 | Score: 19.0
2021-07-17 12:10:08,521 Episode: 11 | Current target score 14.0 | Score: 27.0
2021-07-17 12:10:08,737 Episode: 12 | Current target score 17.0 | Score: 62.0
2021-07-17 12:10:08,801 Episode: 13 | Current target score 17.0 | Score: 12.0
2021-07-17 12:10:08,866 Episode: 14 | Current target score 17.0 | Score: 14.0
2021-07-17 12:10:08,957 Episode: 15 | Current target score 17.0 | Score: 12.0
2021-07-17 12:10:09,043 Episode: 16 | Current target score 17.0 | Score: 10.0
2021-07-17 12:10:09,120 Episode: 17 | Current target score 17.0 | Score: 12.0
2021-07-17 12:10:09,194 Episode: 18 | Current target score 17.0 | Score: 11.0
2021-07-17 12:10:09,311 Episode: 19 | Current target score 17.0 | Score: 14.0
2021-07-17 12:10:09,477 Episode: 20 | Current target score 17.0 | Score: 19.0
2021-07-17 12:10:09,697 Episode: 21 | Current target score 17.0 | Score: 11.0
2021-07-17 12:10:09,956 Episode: 22 | Current target score 17.0 | Score: 10.0
2021-07-17 12:10:10,077 Episode: 23 | Current target score 17.0 | Score: 10.0
2021-07-17 12:10:10,153 Episode: 24 | Current target score 17.0 | Score: 9.0
2021-07-17 12:10:10,225 Episode: 25 | Current target score 17.0 | Score: 9.0
2021-07-17 12:10:10,293 Episode: 26 | Current target score 17.0 | Score: 9.0
2021-07-17 12:10:10,365 Episode: 27 | Current target score 17.0 | Score: 14.0
2021-07-17 12:10:10,431 Episode: 28 | Current target score 17.0 | Score: 9.0
2021-07-17 12:10:10,501 Episode: 29 | Current target score 17.0 | Score: 10.0
2021-07-17 12:10:10,566 Episode: 30 | Current target score 17.0 | Score: 10.0
2021-07-17 12:10:10,637 Episode: 31 | Current target score 17.0 | Score: 11.0
2021-07-17 12:10:10,711 Episode: 32 | Current target score 17.0 | Score: 11.0
2021-07-17 12:10:10,822 Episode: 33 | Current target score 17.0 | Score: 14.0
2021-07-17 12:10:10,937 Episode: 34 | Current target score 17.0 | Score: 10.0
2021-07-17 12:10:11,028 Episode: 35 | Current target score 17.0 | Score: 10.0
2021-07-17 12:10:11,115 Episode: 36 | Current target score 17.0 | Score: 12.0
2021-07-17 12:10:11,197 Episode: 37 | Current target score 17.0 | Score: 9.0
2021-07-17 12:10:11,299 Episode: 38 | Current target score 17.0 | Score: 11.0
2021-07-17 12:10:11,423 Episode: 39 | Current target score 17.0 | Score: 10.0
2021-07-17 12:10:11,533 Episode: 40 | Current target score 17.0 | Score: 9.0
2021-07-17 12:10:11,613 Episode: 41 | Current target score 17.0 | Score: 10.0
2021-07-17 12:10:11,679 Episode: 42 | Current target score 17.0 | Score: 10.0
2021-07-17 12:10:11,741 Episode: 43 | Current target score 17.0 | Score: 10.0
2021-07-17 12:10:11,807 Episode: 44 | Current target score 17.0 | Score: 9.0
2021-07-17 12:10:11,871 Episode: 45 | Current target score 17.0 | Score: 8.0
2021-07-17 12:10:11,939 Episode: 46 | Current target score 17.0 | Score: 10.0
2021-07-17 12:10:12,031 Episode: 47 | Current target score 17.0 | Score: 13.0
2021-07-17 12:10:12,121 Episode: 48 | Current target score 17.0 | Score: 12.0
2021-07-17 12:10:12,211 Episode: 49 | Current target score 17.0 | Score: 10.0
