2021-07-17 12:12:52,845 Experiment dir : saves/DQN-NoTarget-NoBuffer-20210717-121252
2021-07-17 12:12:52,845 Args: Namespace(gpu='0', save='DQN-NoTarget-NoBuffer', max_episodes=200, with_buffer=True, with_target=False)
2021-07-17 12:12:52,848 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 12:12:52,848 training_params: {'batch_size': 256, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'hard', 'tau': 0.01, 'target_update_period': 1, 'grad_clip': 0.1}
2021-07-17 12:12:53,007 Episode: 1 | Current target score 0 | Score: 23.0
2021-07-17 12:12:53,156 Episode: 2 | Current target score 23.0 | Score: 22.0
2021-07-17 12:12:53,212 Episode: 3 | Current target score 23.0 | Score: 15.0
2021-07-17 12:12:53,283 Episode: 4 | Current target score 23.0 | Score: 46.0
2021-07-17 12:12:53,330 Episode: 5 | Current target score 23.0 | Score: 38.0
2021-07-17 12:12:53,380 Episode: 6 | Current target score 23.0 | Score: 44.0
2021-07-17 12:12:53,426 Episode: 7 | Current target score 23.0 | Score: 43.0
2021-07-17 12:12:53,469 Episode: 8 | Current target score 23.0 | Score: 20.0
2021-07-17 12:12:53,536 Episode: 9 | Current target score 23.0 | Score: 15.0
2021-07-17 12:12:53,610 Episode: 10 | Current target score 23.0 | Score: 17.0
2021-07-17 12:12:53,664 Episode: 11 | Current target score 23.0 | Score: 11.0
2021-07-17 12:12:53,717 Episode: 12 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:53,776 Episode: 13 | Current target score 23.0 | Score: 14.0
2021-07-17 12:12:53,831 Episode: 14 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:53,935 Episode: 15 | Current target score 23.0 | Score: 45.0
2021-07-17 12:12:53,991 Episode: 16 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:54,050 Episode: 17 | Current target score 23.0 | Score: 11.0
2021-07-17 12:12:54,112 Episode: 18 | Current target score 23.0 | Score: 11.0
2021-07-17 12:12:54,174 Episode: 19 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:54,245 Episode: 20 | Current target score 23.0 | Score: 13.0
2021-07-17 12:12:54,304 Episode: 21 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:54,364 Episode: 22 | Current target score 23.0 | Score: 8.0
2021-07-17 12:12:54,419 Episode: 23 | Current target score 23.0 | Score: 11.0
2021-07-17 12:12:54,485 Episode: 24 | Current target score 23.0 | Score: 18.0
2021-07-17 12:12:54,545 Episode: 25 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:54,619 Episode: 26 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:54,695 Episode: 27 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:54,779 Episode: 28 | Current target score 23.0 | Score: 11.0
2021-07-17 12:12:54,885 Episode: 29 | Current target score 23.0 | Score: 17.0
2021-07-17 12:12:54,954 Episode: 30 | Current target score 23.0 | Score: 11.0
2021-07-17 12:12:55,041 Episode: 31 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:55,128 Episode: 32 | Current target score 23.0 | Score: 8.0
2021-07-17 12:12:55,206 Episode: 33 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:55,277 Episode: 34 | Current target score 23.0 | Score: 13.0
2021-07-17 12:12:55,341 Episode: 35 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:55,416 Episode: 36 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:55,487 Episode: 37 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:55,559 Episode: 38 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:55,715 Episode: 39 | Current target score 23.0 | Score: 12.0
2021-07-17 12:12:55,802 Episode: 40 | Current target score 23.0 | Score: 14.0
2021-07-17 12:12:55,891 Episode: 41 | Current target score 23.0 | Score: 11.0
2021-07-17 12:12:56,012 Episode: 42 | Current target score 23.0 | Score: 8.0
2021-07-17 12:12:56,093 Episode: 43 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:56,171 Episode: 44 | Current target score 23.0 | Score: 13.0
2021-07-17 12:12:56,339 Episode: 45 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:56,469 Episode: 46 | Current target score 23.0 | Score: 11.0
2021-07-17 12:12:56,572 Episode: 47 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:56,745 Episode: 48 | Current target score 23.0 | Score: 11.0
2021-07-17 12:12:56,838 Episode: 49 | Current target score 23.0 | Score: 11.0
2021-07-17 12:12:56,921 Episode: 50 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:57,170 Episode: 51 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:57,267 Episode: 52 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:57,371 Episode: 53 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:57,462 Episode: 54 | Current target score 23.0 | Score: 8.0
2021-07-17 12:12:57,547 Episode: 55 | Current target score 23.0 | Score: 8.0
2021-07-17 12:12:57,636 Episode: 56 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:57,749 Episode: 57 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:57,839 Episode: 58 | Current target score 23.0 | Score: 13.0
2021-07-17 12:12:57,915 Episode: 59 | Current target score 23.0 | Score: 8.0
2021-07-17 12:12:57,994 Episode: 60 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:58,076 Episode: 61 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:58,156 Episode: 62 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:58,238 Episode: 63 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:58,323 Episode: 64 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:58,397 Episode: 65 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:58,474 Episode: 66 | Current target score 23.0 | Score: 12.0
2021-07-17 12:12:58,550 Episode: 67 | Current target score 23.0 | Score: 12.0
2021-07-17 12:12:58,621 Episode: 68 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:58,697 Episode: 69 | Current target score 23.0 | Score: 11.0
2021-07-17 12:12:58,773 Episode: 70 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:58,847 Episode: 71 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:58,922 Episode: 72 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:58,996 Episode: 73 | Current target score 23.0 | Score: 8.0
2021-07-17 12:12:59,073 Episode: 74 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:59,152 Episode: 75 | Current target score 23.0 | Score: 11.0
2021-07-17 12:12:59,230 Episode: 76 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:59,309 Episode: 77 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:59,387 Episode: 78 | Current target score 23.0 | Score: 9.0
2021-07-17 12:12:59,475 Episode: 79 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:59,558 Episode: 80 | Current target score 23.0 | Score: 10.0
2021-07-17 12:12:59,641 Episode: 81 | Current target score 23.0 | Score: 10.0
