2021-07-16 17:47:57,546 Experiment dir : saves/DQN-SOFT-20210716-174757
2021-07-16 17:47:57,546 Args: Namespace(gpu='0', save='DQN-SOFT', max_episodes=300)
2021-07-16 17:47:57,551 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 110}
2021-07-16 17:47:57,551 training_params: {'batch_size': 275, 'gamma': 0.549, 'epsilon_start': 1.1, 'epsilon_end': 0.0184, 'epsilon_decay': 0.537, 'target_update': 'soft', 'tau': 0.486, 'target_update_period': 0, 'grad_clip': 0.168}
2021-07-16 17:47:57,723 Episode: 1 | Current target score 0 | Score: 11.0
2021-07-16 17:47:57,872 Episode: 2 | Current target score 11.0 | Score: 10.0
2021-07-16 17:47:57,930 Episode: 3 | Current target score 11.0 | Score: 10.0
2021-07-16 17:47:58,004 Episode: 4 | Current target score 11.0 | Score: 10.0
2021-07-16 17:47:58,056 Episode: 5 | Current target score 11.0 | Score: 10.0
2021-07-16 17:47:58,110 Episode: 6 | Current target score 11.0 | Score: 9.0
2021-07-16 17:47:58,157 Episode: 7 | Current target score 11.0 | Score: 11.0
2021-07-16 17:47:58,208 Episode: 8 | Current target score 11.0 | Score: 10.0
2021-07-16 17:47:58,256 Episode: 9 | Current target score 11.0 | Score: 9.0
2021-07-16 17:47:58,305 Episode: 10 | Current target score 11.0 | Score: 8.0
2021-07-16 17:47:58,356 Episode: 11 | Current target score 11.0 | Score: 9.0
2021-07-16 17:47:58,404 Episode: 12 | Current target score 11.0 | Score: 9.0
2021-07-16 17:47:58,449 Episode: 13 | Current target score 11.0 | Score: 9.0
2021-07-16 17:47:58,494 Episode: 14 | Current target score 11.0 | Score: 10.0
2021-07-16 17:47:58,539 Episode: 15 | Current target score 11.0 | Score: 8.0
2021-07-16 17:47:58,589 Episode: 16 | Current target score 11.0 | Score: 12.0
2021-07-16 17:47:58,636 Episode: 17 | Current target score 11.0 | Score: 8.0
2021-07-16 17:47:58,685 Episode: 18 | Current target score 11.0 | Score: 9.0
2021-07-16 17:47:58,741 Episode: 19 | Current target score 11.0 | Score: 11.0
2021-07-16 17:47:58,790 Episode: 20 | Current target score 11.0 | Score: 10.0
2021-07-16 17:47:58,844 Episode: 21 | Current target score 11.0 | Score: 8.0
2021-07-16 17:47:58,901 Episode: 22 | Current target score 11.0 | Score: 10.0
2021-07-16 17:47:58,954 Episode: 23 | Current target score 11.0 | Score: 9.0
2021-07-16 17:47:59,002 Episode: 24 | Current target score 11.0 | Score: 9.0
2021-07-16 17:47:59,049 Episode: 25 | Current target score 11.0 | Score: 9.0
