2021-07-17 11:18:30,124 Experiment dir : saves/DQN-SOFT-20210717-111830
2021-07-17 11:18:30,125 Args: Namespace(gpu='0', save='DQN-SOFT', max_episodes=200, with_buffer=True, with_target=True)
2021-07-17 11:18:30,131 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 11:18:30,131 training_params: {'batch_size': 256, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'soft', 'tau': 0.01, 'target_update_period': 15, 'grad_clip': 0.1}
2021-07-17 11:18:30,307 Episode: 1 | Current target score 0 | Score: 46.0
2021-07-17 11:18:30,465 Episode: 2 | Current target score 46.0 | Score: 13.0
2021-07-17 11:18:30,537 Episode: 3 | Current target score 46.0 | Score: 28.0
2021-07-17 11:18:30,618 Episode: 4 | Current target score 46.0 | Score: 25.0
2021-07-17 11:18:30,668 Episode: 5 | Current target score 46.0 | Score: 16.0
2021-07-17 11:18:30,716 Episode: 6 | Current target score 46.0 | Score: 12.0
2021-07-17 11:18:30,760 Episode: 7 | Current target score 46.0 | Score: 17.0
2021-07-17 11:18:30,807 Episode: 8 | Current target score 46.0 | Score: 26.0
2021-07-17 11:18:30,853 Episode: 9 | Current target score 46.0 | Score: 15.0
2021-07-17 11:18:30,905 Episode: 10 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:30,950 Episode: 11 | Current target score 46.0 | Score: 21.0
2021-07-17 11:18:30,993 Episode: 12 | Current target score 46.0 | Score: 12.0
2021-07-17 11:18:31,057 Episode: 13 | Current target score 46.0 | Score: 25.0
2021-07-17 11:18:31,116 Episode: 14 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:31,177 Episode: 15 | Current target score 46.0 | Score: 12.0
2021-07-17 11:18:31,248 Episode: 16 | Current target score 46.0 | Score: 18.0
2021-07-17 11:18:31,313 Episode: 17 | Current target score 46.0 | Score: 15.0
2021-07-17 11:18:31,378 Episode: 18 | Current target score 46.0 | Score: 12.0
2021-07-17 11:18:31,473 Episode: 19 | Current target score 46.0 | Score: 31.0
2021-07-17 11:18:31,545 Episode: 20 | Current target score 46.0 | Score: 12.0
2021-07-17 11:18:31,616 Episode: 21 | Current target score 46.0 | Score: 16.0
2021-07-17 11:18:31,686 Episode: 22 | Current target score 46.0 | Score: 15.0
2021-07-17 11:18:31,740 Episode: 23 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:31,797 Episode: 24 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:31,853 Episode: 25 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:31,924 Episode: 26 | Current target score 46.0 | Score: 13.0
2021-07-17 11:18:31,992 Episode: 27 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:32,051 Episode: 28 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:32,109 Episode: 29 | Current target score 46.0 | Score: 8.0
2021-07-17 11:18:32,170 Episode: 30 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:32,234 Episode: 31 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:32,296 Episode: 32 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:32,358 Episode: 33 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:32,431 Episode: 34 | Current target score 46.0 | Score: 15.0
2021-07-17 11:18:32,497 Episode: 35 | Current target score 46.0 | Score: 13.0
2021-07-17 11:18:32,564 Episode: 36 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:32,636 Episode: 37 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:32,700 Episode: 38 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:32,779 Episode: 39 | Current target score 46.0 | Score: 14.0
2021-07-17 11:18:32,850 Episode: 40 | Current target score 46.0 | Score: 13.0
2021-07-17 11:18:32,918 Episode: 41 | Current target score 46.0 | Score: 8.0
2021-07-17 11:18:32,995 Episode: 42 | Current target score 46.0 | Score: 13.0
2021-07-17 11:18:33,060 Episode: 43 | Current target score 46.0 | Score: 12.0
2021-07-17 11:18:33,125 Episode: 44 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:33,191 Episode: 45 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:33,273 Episode: 46 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:33,368 Episode: 47 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:33,435 Episode: 48 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:33,498 Episode: 49 | Current target score 46.0 | Score: 8.0
2021-07-17 11:18:33,561 Episode: 50 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:33,720 Episode: 51 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:33,786 Episode: 52 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:33,854 Episode: 53 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:33,922 Episode: 54 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:33,994 Episode: 55 | Current target score 46.0 | Score: 12.0
2021-07-17 11:18:34,062 Episode: 56 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:34,132 Episode: 57 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:34,205 Episode: 58 | Current target score 46.0 | Score: 12.0
2021-07-17 11:18:34,276 Episode: 59 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:34,350 Episode: 60 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:34,419 Episode: 61 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:34,493 Episode: 62 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:34,566 Episode: 63 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:34,638 Episode: 64 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:34,709 Episode: 65 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:34,780 Episode: 66 | Current target score 46.0 | Score: 8.0
2021-07-17 11:18:34,853 Episode: 67 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:34,933 Episode: 68 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:35,010 Episode: 69 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:35,088 Episode: 70 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:35,166 Episode: 71 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:35,245 Episode: 72 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:35,339 Episode: 73 | Current target score 46.0 | Score: 12.0
2021-07-17 11:18:35,419 Episode: 74 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:35,496 Episode: 75 | Current target score 46.0 | Score: 8.0
2021-07-17 11:18:35,572 Episode: 76 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:35,652 Episode: 77 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:35,734 Episode: 78 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:35,815 Episode: 79 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:35,894 Episode: 80 | Current target score 46.0 | Score: 8.0
2021-07-17 11:18:35,979 Episode: 81 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:36,086 Episode: 82 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:36,171 Episode: 83 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:36,248 Episode: 84 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:36,324 Episode: 85 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:36,402 Episode: 86 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:36,493 Episode: 87 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:36,574 Episode: 88 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:36,652 Episode: 89 | Current target score 46.0 | Score: 8.0
2021-07-17 11:18:36,732 Episode: 90 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:36,814 Episode: 91 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:36,893 Episode: 92 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:36,972 Episode: 93 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:37,050 Episode: 94 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:37,129 Episode: 95 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:37,210 Episode: 96 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:37,296 Episode: 97 | Current target score 46.0 | Score: 12.0
2021-07-17 11:18:37,379 Episode: 98 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:37,464 Episode: 99 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:37,554 Episode: 100 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:37,731 Episode: 101 | Current target score 46.0 | Score: 8.0
2021-07-17 11:18:37,820 Episode: 102 | Current target score 46.0 | Score: 12.0
2021-07-17 11:18:37,909 Episode: 103 | Current target score 46.0 | Score: 11.0
2021-07-17 11:18:37,996 Episode: 104 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:38,081 Episode: 105 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:38,168 Episode: 106 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:38,259 Episode: 107 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:38,345 Episode: 108 | Current target score 46.0 | Score: 8.0
2021-07-17 11:18:38,433 Episode: 109 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:38,519 Episode: 110 | Current target score 46.0 | Score: 8.0
2021-07-17 11:18:38,607 Episode: 111 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:38,696 Episode: 112 | Current target score 46.0 | Score: 9.0
2021-07-17 11:18:38,787 Episode: 113 | Current target score 46.0 | Score: 10.0
2021-07-17 11:18:38,877 Episode: 114 | Current target score 46.0 | Score: 9.0
