2021-07-17 12:22:38,170 Experiment dir : saves/DQN-SOFT-NoBuffer-20210717-122238
2021-07-17 12:22:38,170 Args: Namespace(gpu='0', save='DQN-SOFT-NoBuffer', max_episodes=200, with_buffer=False, with_target=True)
2021-07-17 12:22:38,174 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-17 12:22:38,174 training_params: {'batch_size': 1, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'soft', 'tau': 0.01, 'target_update_period': 15, 'grad_clip': 0.1}
2021-07-17 12:22:38,385 Episode: 1 | Current target score 0 | Score: 15.0
2021-07-17 12:22:38,602 Episode: 2 | Current target score 15.0 | Score: 24.0
2021-07-17 12:22:38,691 Episode: 3 | Current target score 15.0 | Score: 13.0
2021-07-17 12:22:38,794 Episode: 4 | Current target score 15.0 | Score: 12.0
2021-07-17 12:22:38,870 Episode: 5 | Current target score 15.0 | Score: 13.0
2021-07-17 12:22:38,976 Episode: 6 | Current target score 15.0 | Score: 16.0
2021-07-17 12:22:39,055 Episode: 7 | Current target score 15.0 | Score: 19.0
2021-07-17 12:22:39,125 Episode: 8 | Current target score 15.0 | Score: 18.0
2021-07-17 12:22:39,180 Episode: 9 | Current target score 15.0 | Score: 8.0
2021-07-17 12:22:39,243 Episode: 10 | Current target score 15.0 | Score: 13.0
2021-07-17 12:22:39,299 Episode: 11 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:39,361 Episode: 12 | Current target score 15.0 | Score: 13.0
2021-07-17 12:22:39,423 Episode: 13 | Current target score 15.0 | Score: 15.0
2021-07-17 12:22:39,484 Episode: 14 | Current target score 15.0 | Score: 12.0
2021-07-17 12:22:39,545 Episode: 15 | Current target score 15.0 | Score: 11.0
2021-07-17 12:22:39,622 Episode: 16 | Current target score 15.0 | Score: 21.0
2021-07-17 12:22:39,676 Episode: 17 | Current target score 15.0 | Score: 12.0
2021-07-17 12:22:39,732 Episode: 18 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:39,793 Episode: 19 | Current target score 15.0 | Score: 12.0
2021-07-17 12:22:39,853 Episode: 20 | Current target score 15.0 | Score: 14.0
2021-07-17 12:22:39,910 Episode: 21 | Current target score 15.0 | Score: 12.0
2021-07-17 12:22:39,970 Episode: 22 | Current target score 15.0 | Score: 11.0
2021-07-17 12:22:40,025 Episode: 23 | Current target score 15.0 | Score: 13.0
2021-07-17 12:22:40,078 Episode: 24 | Current target score 15.0 | Score: 12.0
2021-07-17 12:22:40,137 Episode: 25 | Current target score 15.0 | Score: 16.0
2021-07-17 12:22:40,193 Episode: 26 | Current target score 15.0 | Score: 12.0
2021-07-17 12:22:40,251 Episode: 27 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:40,311 Episode: 28 | Current target score 15.0 | Score: 12.0
2021-07-17 12:22:40,367 Episode: 29 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:40,425 Episode: 30 | Current target score 15.0 | Score: 11.0
2021-07-17 12:22:40,482 Episode: 31 | Current target score 15.0 | Score: 9.0
2021-07-17 12:22:40,541 Episode: 32 | Current target score 15.0 | Score: 11.0
2021-07-17 12:22:40,601 Episode: 33 | Current target score 15.0 | Score: 12.0
2021-07-17 12:22:40,660 Episode: 34 | Current target score 15.0 | Score: 11.0
2021-07-17 12:22:40,719 Episode: 35 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:40,781 Episode: 36 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:40,842 Episode: 37 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:40,909 Episode: 38 | Current target score 15.0 | Score: 13.0
2021-07-17 12:22:40,969 Episode: 39 | Current target score 15.0 | Score: 9.0
2021-07-17 12:22:41,029 Episode: 40 | Current target score 15.0 | Score: 8.0
2021-07-17 12:22:41,094 Episode: 41 | Current target score 15.0 | Score: 11.0
2021-07-17 12:22:41,159 Episode: 42 | Current target score 15.0 | Score: 11.0
2021-07-17 12:22:41,219 Episode: 43 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:41,278 Episode: 44 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:41,336 Episode: 45 | Current target score 15.0 | Score: 8.0
2021-07-17 12:22:41,395 Episode: 46 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:41,454 Episode: 47 | Current target score 15.0 | Score: 8.0
2021-07-17 12:22:41,514 Episode: 48 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:41,576 Episode: 49 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:41,641 Episode: 50 | Current target score 15.0 | Score: 10.0
2021-07-17 12:22:41,787 Episode: 51 | Current target score 15.0 | Score: 9.0
2021-07-17 12:22:41,855 Episode: 52 | Current target score 15.0 | Score: 14.0
2021-07-17 12:22:41,918 Episode: 53 | Current target score 15.0 | Score: 8.0
2021-07-17 12:22:41,982 Episode: 54 | Current target score 15.0 | Score: 9.0
2021-07-17 12:22:42,046 Episode: 55 | Current target score 15.0 | Score: 9.0
