2021-07-26 16:09:01,840 Experiment dir : saves/DQN-Soft-20210726-160901
2021-07-26 16:09:01,840 Args: Namespace(gpu='0', save='DQN-Soft', max_episodes=200, no_buffer=True, no_target=True)
2021-07-26 16:09:01,844 network_params: {'state_dim': 4, 'action_dim': 2, 'hidden_dim': 64}
2021-07-26 16:09:01,844 training_params: {'batch_size': 256, 'gamma': 0.95, 'epsilon_start': 1.1, 'epsilon_end': 0.05, 'epsilon_decay': 0.95, 'target_update': 'soft', 'tau': 0.01, 'target_update_period': 15, 'grad_clip': 0.1}
2021-07-26 16:09:01,997 Episode: 1 | Current target score 0 | Score: 13.0
2021-07-26 16:09:02,168 Episode: 2 | Current target score 13.0 | Score: 41.0
2021-07-26 16:09:02,231 Episode: 3 | Current target score 13.0 | Score: 17.0
2021-07-26 16:09:02,310 Episode: 4 | Current target score 13.0 | Score: 20.0
2021-07-26 16:09:02,371 Episode: 5 | Current target score 13.0 | Score: 29.0
2021-07-26 16:09:02,430 Episode: 6 | Current target score 13.0 | Score: 16.0
2021-07-26 16:09:02,482 Episode: 7 | Current target score 16.0 | Score: 12.0
2021-07-26 16:09:02,532 Episode: 8 | Current target score 16.0 | Score: 15.0
2021-07-26 16:09:02,582 Episode: 9 | Current target score 16.0 | Score: 11.0
2021-07-26 16:09:02,638 Episode: 10 | Current target score 16.0 | Score: 15.0
2021-07-26 16:09:02,687 Episode: 11 | Current target score 16.0 | Score: 13.0
2021-07-26 16:09:02,739 Episode: 12 | Current target score 16.0 | Score: 11.0
2021-07-26 16:09:02,792 Episode: 13 | Current target score 16.0 | Score: 11.0
2021-07-26 16:09:02,841 Episode: 14 | Current target score 16.0 | Score: 12.0
2021-07-26 16:09:02,895 Episode: 15 | Current target score 16.0 | Score: 17.0
2021-07-26 16:09:02,967 Episode: 16 | Current target score 16.0 | Score: 11.0
2021-07-26 16:09:03,039 Episode: 17 | Current target score 16.0 | Score: 11.0
2021-07-26 16:09:03,107 Episode: 18 | Current target score 16.0 | Score: 11.0
2021-07-26 16:09:03,177 Episode: 19 | Current target score 16.0 | Score: 12.0
2021-07-26 16:09:03,245 Episode: 20 | Current target score 16.0 | Score: 11.0
2021-07-26 16:09:03,307 Episode: 21 | Current target score 16.0 | Score: 10.0
